name,category,state,lga,coords[]+,coords[]+,latitude+,longitude+,description
LA0101031,pollbooth,LA,1,6.61365011,3.318677984,6.61365011,3.318677984,"THE PU IS LOCATED AT OPEN SPACE IN ANWAR-UL-ISLAM COLLEGE, AT ONIWAYA IN AGEGE LAGOS STATE."
LA0101032,pollbooth,LA,1,6.614405933,3.326883104,6.614405933,3.326883104,"THE PU IS LOCATED AT HOUSE 11 OF AGEGE BYE PASS/CAPITOL ROAD, MANGORO IN AGEGE LAGOS STATE."
LA0101033,pollbooth,LA,1,6.61800834,3.32482699,6.61800834,3.32482699,"THE PU IS LOCATED AT IN FRONT OF IKE-OLUWA MOSQUE ALAGOMEJI, AT NO 3 MARKET STREET, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101034,pollbooth,LA,1,6.616418118,3.324330945,6.616418118,3.324330945,"THE PU IS LOCATED AT HOUSE 12 OF MARKET STREET, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101035,pollbooth,LA,1,6.616231618,3.324258973,6.616231618,3.324258973,"THE PU IS LOCATED AT HOUSE 8 OF MARKET STREET, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101036,pollbooth,LA,1,6.616289057,3.32657012,6.616289057,3.32657012,"THE PU IS LOCATED AT HOUSE 20 OF IPAYE STREET, OFF OLD ABEOKUTA ROAD, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101037,pollbooth,LA,1,6.61563524,3.325845388,6.61563524,3.325845388,"THE PU IS LOCATED AT HOUSE 8 OF BABAYOMI LANE, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101038,pollbooth,LA,1,6.616639735,3.326854999,6.616639735,3.326854999,"THE PU IS LOCATED AT HOUSE 15/69 OF OLD ABEOKUTA ROAD, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101039,pollbooth,LA,1,6.617140439,3.326674613,6.617140439,3.326674613,"THE PU IS LOCATED AT HOUSE 25 OF OLD ABEOKUTA ROAD, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101040,pollbooth,LA,1,6.61815955,3.325914395,6.61815955,3.325914395,"THE PU IS LOCATED AT HOUSE 7 OF BISI-ODUNAYA STREET, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101041,pollbooth,LA,1,6.618105317,3.321567197,6.618105317,3.321567197,"THE PU IS LOCATED OPEN SPACE IN FRONT OF HOUSE 5 OF ALHAJI MUDI LANE, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101042,pollbooth,LA,1,6.617017069,3.323391952,6.617017069,3.323391952,"THE PU IS LOCATED AT HOUSE 2 OF ONIGBAOJULE STREET BY OLOKO STREET, ISALE-OJA IN AGEGE LAGOS STATE."
