name,category,state,lga,coords[],coords[],latitude,longitude,description
AB0101001,pollbooth,AB,1,5.123956245,7.370220269,5.123956245,7.370220269,located infront of the office block opp Railway Staff club
AB0101002,pollbooth,AB,1,5.123978139,7.370266364,5.123978139,7.370266364,located infront of the office block opp Railway Staff club
